SRR27190676,SRR27190684,SRR27190685,SRR27190700,SRR27190708,SRR27190710
511.727550291235,674.1938735300001,969.7772800333802,584.3694110802678,795.1184699999999,800.7218
1224.0011,1225.001,219.00000000000003,341.00003,446.00011700000005,795
69.37039999999999,153.99995,137.00022,83.99999,156.5599,141.80488
229,397.99980019242497,748.0009,431.99929999999995,584.9994,597.000163037424
173,216.34742,308.99979,124.99998,200.99998999999997,212.999957
3527.16126,4526.524030000001,5873.917689999999,3806.5010699999993,4538.55696001142,4283.086529999999
1449.40727036877,1776.2362699999999,2535.144300181194,1985.55360345798,2290.2881173900005,2142.01282360911
240.57188,556.0611,455.03001000000006,385.3417,521.5968100000001,314.14007999999995
370.05648,529.7706800000001,279.10451328,734.78409,372.00356,549.0307700000001
0,0,0,3,7,3
1102.25883,1462.529863976342,2112.8164335661,941.6224603573891,1959.7676202125556,2457.1963598182983
1610.00004200824,2029.0431,3155.3313,1943.9969234000002,3616.99957,1650.1745
21.1197,66.66349,125.56347,95.05073999999999,148.42383,104.78576999999999
65.8983200542,57.993967999999995,101.73494070000001,51.99996,95.44109,95.90311
2,32,28,11,5,66
2978.9982221897526,4012.0040743235304,6326.002752051,3443.99453156875,5739.004258917401,4155.9970534208105
2239.0004854940003,5328.3411399999995,6408.99234,4137.378400660266,5241.9997427,2390.4377329999998
281.263502564513,613.31525152755,443.117095288508,877.365882,586.97248254,466.51962
0,8,4,16,9,6.999998000000001
5461.008209999999,11800.365000000002,9207.05136524636,8150.378249999999,8831.4576,6560.613473200001
0,1,5,5,8,2
424.54332999999997,789.5325090699,384.3087157563,307.394,384.6014978,467.3651185843464
5584.005537487,7572.9966369,10623.001595000002,11472.004543221794,13929.96823,8252.00318
36,84.83211999999999,53.099450000000004,49.498369999999994,85.08712999999999,71.37872999999999
2044.9022499999999,2469.9109330570996,2383.18934,1979.43665,2808.6957472989006,1588.9562600000004
121.541213,243.990340055171,151.99906,86.60377000000001,195.02362,127.49714
210.00049997575,210.99993890000002,537.99976,218.00003098449,354.00019420838004,330.00020051436684
3443.0023229029275,4188.0014997456,8315.999461770001,3610.8422592422708,5010.985780942,7210.994365732961
876.9992901700001,1644.1941000000002,1554.50888,627.0086252317999,1544.232584,1402.0469508505998
28,3,16,0,8,11
629.7648800270438,745.4755306,956.038,655.8063,892.8619,857.874
2233.9341394557073,3398.9972610882896,3923.9997,3314.9953602478004,3643.0019100000004,3062.997808
711.9996699999999,928.7773000000001,1115.9527,694.0003200000001,969.49734701572,725.0003300000001
317.99984,338.00005999999996,954.0002800000001,2442.9952000000003,398.9996,395.00012799999996
